bike_id,bike_start,bike_end,avg_duration_mins,total_trips,total_duration_hours,total_days_hired
17405,2020-03-23 17:40:00.000000 UTC,2022-09-09 18:58:00.000000 UTC,22.92986023,3935,1503.816667,713
17406,2020-03-22 15:25:00.000000 UTC,2022-09-09 23:20:00.000000 UTC,24.48905836,3016,1230.983333,564
17407,2020-03-21 12:39:00.000000 UTC,2023-01-13 13:22:00.000000 UTC,22.16150379,3254,1201.892222,620
17408,2020-03-21 10:44:00.000000 UTC,2022-09-08 11:01:00.000000 UTC,22.64081755,3327,1255.433333,641
17409,2020-03-18 20:37:00.000000 UTC,2022-09-09 17:46:00.000000 UTC,22.33665443,3814,1419.866667,695
17410,2020-03-20 22:33:00.000000 UTC,2022-09-09 22:02:00.000000 UTC,21.99256506,3497,1281.8,665
17411,2020-03-18 18:41:00.000000 UTC,2022-02-02 17:53:00.000000 UTC,23.49178911,2314,906,402
17412,2020-03-21 14:41:00.000000 UTC,2023-01-09 21:32:00.000000 UTC,23.56475969,3662,1438.235833,699
17413,2020-03-26 19:30:00.000000 UTC,2022-09-07 12:55:00.000000 UTC,21.44892916,3642,1301.95,665
17414,2020-03-18 17:51:00.000000 UTC,2022-09-09 16:09:00.000000 UTC,22.400849,3298,1231.3,602
17415,2020-03-22 14:11:00.000000 UTC,2022-09-09 19:09:00.000000 UTC,22.70936244,3482,1317.9,682
17416,2020-03-21 08:44:00.000000 UTC,2022-05-16 17:47:00.000000 UTC,22.38184546,2666,994.5,493
17417,2020-03-18 20:41:00.000000 UTC,2022-09-09 20:01:00.000000 UTC,21.7599418,4124,1495.633333,681
17418,2020-03-27 13:17:00.000000 UTC,2023-01-12 19:26:00.000000 UTC,25.04639325,2292,956.7722222,414
17419,2020-03-20 12:33:00.000000 UTC,2022-09-04 19:56:00.000000 UTC,23.38491921,2785,1085.45,543
17420,2020-03-18 17:13:00.000000 UTC,2023-01-14 11:55:00.000000 UTC,23.96433597,3032,1210.997778,558
17421,2020-03-20 19:37:00.000000 UTC,2022-09-09 22:16:00.000000 UTC,24.22065254,2973,1200.133333,517
17422,2020-03-21 15:36:00.000000 UTC,2023-01-10 19:57:00.000000 UTC,19.75540401,3226,1062.182222,603
17423,2020-03-20 18:23:00.000000 UTC,2022-09-09 16:58:00.000000 UTC,21.18471897,3416,1206.116667,668
17424,2020-03-19 15:10:00.000000 UTC,2022-09-09 18:52:00.000000 UTC,21.4398173,3722,1329.983333,674
17425,2020-03-28 13:08:00.000000 UTC,2022-09-09 22:40:00.000000 UTC,22.98160594,2827,1082.816667,543
17426,2020-03-20 14:30:00.000000 UTC,2022-07-09 03:05:00.000000 UTC,21.42537119,3839,1370.866667,639
17427,2020-03-22 11:27:00.000000 UTC,2022-08-28 22:57:00.000000 UTC,22.61301775,4225,1592.333333,711
17428,2020-05-27 11:53:00.000000 UTC,2022-07-06 19:18:00.000000 UTC,20.11306902,2724,913.1333333,518
17429,2020-03-21 10:17:00.000000 UTC,2022-09-09 20:28:00.000000 UTC,23.07070406,3352,1288.883333,592
17430,2020-03-18 12:37:00.000000 UTC,2022-08-14 13:47:00.000000 UTC,23.7811823,3231,1280.616667,571
17431,2020-03-18 08:27:00.000000 UTC,2023-01-14 21:08:00.000000 UTC,20.49694157,2316,791.1819444,450
17432,2020-03-25 08:16:00.000000 UTC,2022-09-09 20:22:00.000000 UTC,23.03856041,3890,1493.666667,679
17433,2020-03-20 11:56:00.000000 UTC,2023-01-15 19:17:00.000000 UTC,22.32581594,2492,927.2655556,498
17434,2020-08-21 20:22:00.000000 UTC,2023-01-14 09:49:00.000000 UTC,19.56637618,2754,898.0966667,517
17435,2020-03-23 09:10:00.000000 UTC,2022-09-05 22:41:00.000000 UTC,24.58654849,1918,785.95,318
17436,2020-11-15 14:54:00.000000 UTC,2022-08-12 14:28:00.000000 UTC,21.05187766,2583,906.2833333,489
17437,2020-03-18 18:09:00.000000 UTC,2022-07-31 20:56:00.000000 UTC,21.46736627,3907,1397.883333,684
17438,2020-03-22 16:36:00.000000 UTC,2022-09-09 17:57:00.000000 UTC,20.69408284,3380,1165.766667,630
17439,2020-03-19 08:04:00.000000 UTC,2022-09-09 20:39:00.000000 UTC,22.34677419,3596,1339.316667,628
17440,2021-03-03 07:39:00.000000 UTC,2022-08-05 01:35:00.000000 UTC,20.49749821,1399,477.9333333,260
17441,2020-03-18 17:10:00.000000 UTC,2022-07-01 16:45:00.000000 UTC,23.67626218,2258,891.0166667,449
17442,2020-03-19 09:03:00.000000 UTC,2022-10-05 10:16:00.000000 UTC,21.5966311,3280,1180.615833,604
17443,2020-03-22 15:59:00.000000 UTC,2022-09-09 18:29:00.000000 UTC,25.79328315,3454,1484.833333,636
17444,2020-05-31 12:46:00.000000 UTC,2023-01-14 12:41:00.000000 UTC,22.85037594,1064,405.2133333,150
17445,2020-03-18 19:02:00.000000 UTC,2021-07-13 17:53:00.000000 UTC,26.04988662,1764,765.8666667,332
17446,2020-03-23 12:46:00.000000 UTC,2022-09-02 18:00:00.000000 UTC,21.64880952,3360,1212.333333,613
17447,2020-03-25 15:40:00.000000 UTC,2023-01-05 08:05:00.000000 UTC,23.4537374,3737,1460.776944,711
